P,N,wall_s,comm_max_s
16,108,0.048554,0.033528
16,256,0.141744,0.060337
16,500,0.399681,0.094817
16,864,1.024726,0.161245
16,1372,2.415914,0.298930
16,2048,4.674440,1.352198
