P,N,wall_s,comm_max_s
1,2048,54.909402,0.001421
2,2048,28.025090,1.117871
4,2048,14.741124,1.091567
8,2048,7.852349,1.393533
16,2048,4.670743,1.445443
24,2048,3.362958,1.053988
32,2048,2.571323,0.707719
