# mode: ho, integrator: verlet, N: 1, P: 1, dt: 0.1, steps: 100, n_steps: 100, n_frames: 101, step_indexing: 0..steps (includes initial frame), total_steps_executed: 100, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 100, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-12T20:53:19Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.1,0.995,-0.09975,3.32850809133281e-28,3.31184474783125e-26,3.34512982874458e-26
2,0.2,0.98005,-0.1985025,1.31812248924871e-27,3.21307064456153e-26,3.3448828934864e-26
3,0.3,0.9552995,-0.295269975,2.91650270030967e-27,3.05283202691131e-26,3.34448229694228e-26
4,0.4,0.920996005,-0.38908475025,5.06421607189484e-27,2.83752241572483e-26,3.34394402291431e-26
5,0.5,0.87748254995,-0.4790086779975,7.67556884047797e-27,2.57573266448842e-26,3.34328954853622e-26
6,0.6,0.8251942694005,-0.564142518965025,1.06463680305926e-26,2.27790818427643e-26,3.34254498733569e-26
7,0.7,0.764654046156995,-0.6436349347429,1.38580787545531e-26,1.95593217184931e-26,3.34174004730462e-26
8,0.8,0.69646728245192,-0.716691001173345,1.71825537544736e-26,1.6226514701029e-26,3.34090684555026e-26
9,0.9,0.621315845922326,-0.782580157592058,2.04871464778571e-26,1.29136397903689e-26,3.34007862682259e-26
10,1,0.539951250933509,-0.840643512434849,2.36400036750406e-26,9.752880695448e-27,3.33928843704886e-26
11,1.1,0.453187143435356,-0.890300432153293,2.65153263438566e-26,6.87035170415375e-27,3.33856780480104e-26
12,1.2,0.36189116450285,-0.931054347550203,2.89983891098193e-26,4.38106572323878e-27,3.33794548330581e-26
13,1.3,0.266976273925315,-0.962497719471611,3.09901177685668e-26,2.38434526334157e-27,3.33744630319083e-26
14,1.4,0.169391620608528,-0.984316114198303,3.2411042346615e-26,9.5985947081204e-28,3.3370901817427e-26
15,1.5,0.0701130510856548,-0.996291347783012,3.32044679532998e-26,1.64445328772107e-28,3.33689132820719e-26
16,1.6,-0.0298666489480747,-0.998303667889891,3.33387369069145e-26,2.98398614891671e-29,3.33685767684037e-26
17,1.7,-0.129547682492324,-0.990332951317872,3.280849187621e-26,5.61413827107809e-28,3.33699057033178e-26
18,1.8,-0.227933239211649,-0.972458905232673,3.16348896379111e-26,1.73795742439985e-27,3.3372847062311e-26
19,1.9,-0.324039463538858,-0.944860270095148,2.98647569213262e-26,3.51252656383334e-27,3.33772834851596e-26
20,2,-0.416905293230679,-0.907813032256671,2.7568722021847e-26,5.81431593674487e-27,3.33830379585918e-26
21,2.1,-0.505602069990192,-0.861687664095627,2.48383967319626e-26,8.55148414715529e-27,3.33898808791179e-26
22,2.2,-0.589242826049804,-0.806945419293627,2.17827210307395e-26,1.16148181834692e-26,3.33975392142087e-26
23,2.3,-0.666991153848918,-0.744133720298691,1.85236163786564e-26,1.48820910176377e-26,3.34057073962941e-26
24,2.4,-0.738069570109542,-0.673880684100768,1.51911210513315e-26,1.82229384635775e-26,3.34140595149089e-26
25,2.5,-0.801767290669071,-0.596888841061838,1.1918201612325e-26,2.15040607081955e-26,3.34222623205205e-26
26,2.6,-0.85744733832191,-0.513928109612289,8.83544754725334e-27,2.45945409739315e-26,3.34299885211848e-26
27,2.7,-0.904552912591529,-0.425828097066617,6.06586074331282e-27,2.73710690981826e-26,3.34369298414954e-26
28,2.8,-0.942612957735233,-0.333469803550278,3.71994771398068e-27,2.97228616087913e-26,3.3442809322772e-26
29,2.9,-0.971246873301585,-0.237776811998438,1.89131038912728e-27,3.15560819845842e-26,3.34473923737114e-26
30,3,-0.990168320134921,-0.139706052326612,6.52911398014255e-28,3.27975847325671e-26,3.34504961305814e-26
31,3.1,-0.999188083766907,-0.040238232131521,5.41628603870279e-29,3.33978338930957e-26,3.34519967534827e-26
32,3.2,-0.998215966561225,0.0596319703848856,1.1895484289692e-28,3.33328795246647e-26,3.34518343675616e-26
33,3.3,-0.98726168968993,0.158905853197443,8.44702145441787e-28,3.26053133065746e-26,3.34500154520164e-26
34,3.4,-0.966434795921736,0.256590677478027,2.20244745065009e-27,3.12441651309272e-26,3.34466125815773e-26
35,3.5,-0.935943554194325,0.35170959498383,4.13801672084401e-27,2.93037448099308e-26,3.34417615307748e-26
36,3.6,-0.89609287692497,0.443311416539794,6.57418074214283e-27,2.68614751143931e-26,3.3435655856536e-26
37,3.7,-0.847281270886366,0.530480123930361,9.4137365700967e-27,2.40148026051662e-26,3.34285391752629e-26
38,3.8,-0.789996852138898,0.612344030081624,1.25433859271703e-26,2.08773095153681e-26,3.34206954425384e-26
39,3.9,-0.724812464870041,0.688084495932071,1.58382558040163e-26,1.75741818192819e-26,3.34124376232982e-26
40,4,-0.652379952952484,0.756944116823198,1.91668808925487e-26,1.42372143119813e-26,3.34040952045299e-26
41,4.1,-0.573423641505401,0.818234296546092,2.23964490517349e-26,1.09995519970076e-26,3.33960010487425e-26
42,4.2,-0.488733093643265,0.871342133303525,2.53981005120235e-26,7.99037760072833e-27,3.33884781127518e-26
43,4.3,-0.399155214844696,0.915736548727923,2.80520693801489e-26,5.329757181555e-27,3.33818265617039e-26
44,4.4,-0.305585783897681,0.950973598665042,3.02524622982729e-26,3.12384949421263e-27,3.33763117924855e-26
45,4.5,-0.208960495111688,0.976700912615511,3.19114835889624e-26,1.46067025542618e-27,3.33721538443886e-26
46,4.6,-0.110245601374578,0.992661217439824,3.29629383027188e-26,4.06580316823218e-28,3.3369518619542e-26
47,4.7,-0.0104282516237232,0.998694910089739,3.33648733964634e-26,3.63786695401216e-30,3.33685112634174e-26
48,4.8,0.0894933806433693,0.994741653638757,3.31012516599556e-26,2.67920309568342e-28,3.33691719695239e-26
49,4.9,0.188520079104028,0.980840980651387,3.21825916004821e-26,1.18888277520589e-27,3.3371474375688e-26
50,5,0.285661576773647,0.957131897857503,3.0645547754416e-26,2.72977886148773e-27,3.33753266159037e-26
51,5.1,0.379946458675529,0.923851496085044,2.85514481712152e-26,4.82912681457121e-27,3.33805749857864e-26
52,5.2,0.470431875990656,0.881332579351735,2.59838474242495e-26,7.40316265112829e-27,3.33870100753778e-26
53,5.3,0.556212974545876,0.830000336824909,2.30451927833228e-26,1.03491823412804e-26,3.33943751246032e-26
