# mode: ho, integrator: euler, N: 1, P: 1, dt: 0.01, steps: 1000, n_steps: 1000, n_frames: 1001, step_indexing: 0..steps (includes initial frame), total_steps_executed: 1000, seed: 42, L: 10000000000, rcut: 7.65e-10, target_temperature: 94.4, equilibration_steps: 0, production_steps: 1000, production_start_step: 0, final_rescale_before_production: true, final_rescale_applied: false, production_nve: false, gr_discard_steps: 200, gr_sample_every: 5, gr_start: 200, timestamp: 2026-03-08T18:23:36Z
step,time,x,v,E_kin,E_pot,E_total
0,0,1,0,0,3.34521325e-26,3.34521325e-26
1,0.01,1,-0.01,3.34521325e-30,3.34521325e-26,3.345547771325e-26
2,0.02,0.9999,-0.02,1.3380853e-29,3.34454424080213e-26,3.34588232610213e-26
3,0.03,0.9997,-0.029999,3.01049121555021e-29,3.34320642311919e-26,3.34621691433474e-26
4,0.04,0.99940001,-0.039996,5.35127078528341e-29,3.34120026524089e-26,3.34655153602618e-26
5,0.05,0.99900005,-0.0499900001,8.35968827971677e-29,3.33852650290006e-26,3.34688619117978e-26
6,0.06,0.998500149999,-0.0599800006,1.20347407670604e-28,3.33518613903184e-26,3.3472208797989e-26
7,0.07,0.997900349993,-0.06996500209999,1.63751584609575e-28,3.33118044342592e-26,3.34755560188688e-26
8,0.08,0.997200699972,-0.07994400559992,2.1379405175039e-28,3.32651095227203e-26,3.34789035744707e-26
9,0.09,0.996401259916001,-0.08991601259964,2.70456788841312e-28,3.32117946759868e-26,3.34822514648281e-26
10,0.1,0.995502099790004,-0.0998800251988,3.3371912391914e-28,3.31518805660554e-26,3.34855996899746e-26
11,0.11,0.994503299538017,-0.1098350461967,4.03557741047843e-28,3.30853905088957e-26,3.34889482499436e-26
12,0.12,0.993404949076049,-0.11978007919208,4.7994668911635e-28,3.30123504556522e-26,3.34922971447686e-26
13,0.13,0.992207148284129,-0.129714128682841,5.62857391692201e-28,3.29327889827909e-26,3.34956463744831e-26
14,0.14,0.9909100069973,-0.139636200165682,6.52258657927319e-28,3.28467372811932e-26,3.34989959391205e-26
15,0.15,0.989513644995643,-0.149545300235655,7.48116694511764e-28,3.27542291442026e-26,3.35023458387144e-26
16,0.16,0.988018191993287,-0.159440436685611,8.50395118670878e-28,3.26553009546274e-26,3.35056960732983e-26
17,0.17,0.986423787626431,-0.169320618605544,9.59054972200847e-28,3.25499916707048e-26,3.35090466429056e-26
18,0.18,0.984730581440375,-0.179184856481809,1.07405473653727e-27,3.24383428110326e-26,3.35123975475699e-26
19,0.19,0.982938732875557,-0.189032162296212,1.19535034885091e-27,3.23203984384738e-26,3.35157487873247e-26
20,0.2,0.981048411252595,-0.198861549624968,1.3228952191644e-27,3.2196205143039e-26,3.35191003622034e-26
21,0.21,0.979059795756345,-0.208672033737494,1.45664024848321e-27,3.20658120237564e-26,3.35224522722396e-26
22,0.22,0.976973075418971,-0.218462631695057,1.59653384793399e-27,3.19292706695328e-26,3.35258045174668e-26
23,0.23,0.97478844910202,-0.228232362449247,1.74252195890258e-27,3.1786635139016e-26,3.35291570979186e-26
24,0.24,0.972506125477528,-0.237980246940267,1.89454807416405e-27,3.16379619394643e-26,3.35325100136284e-26
25,0.25,0.970126323008125,-0.247705308195043,2.05255325999641e-27,3.14833100046333e-26,3.35358632646297e-26
26,0.26,0.967649269926174,-0.257406571425124,2.21647617926938e-27,3.13227406716868e-26,3.35392168509562e-26
27,0.27,0.965075204211923,-0.267083064124386,2.38625311549916e-27,3.11563176571421e-26,3.35425707726413e-26
28,0.28,0.962404373570679,-0.276733816166505,2.56181799785975e-27,3.09841070318588e-26,3.35459250297186e-26
29,0.29,0.959637035409014,-0.286357859902212,2.74310242714109e-27,3.08061771950804e-26,3.35492796222215e-26
30,0.3,0.956773456809992,-0.295954230256302,2.93003570264368e-27,3.06225988475401e-26,3.35526345501838e-26
31,0.31,0.953813914507429,-0.305521964824402,3.12254484999934e-27,3.04334449636394e-26,3.35559898136388e-26
32,0.32,0.950758694859185,-0.315060103969476,3.32055464990683e-27,3.02387907627133e-26,3.35593454126201e-26
33,0.33,0.94760809381949,-0.324567690918068,3.52398766777142e-27,3.003871367939e-26,3.35627013471614e-26
34,0.34,0.94436241691031,-0.334043771856263,3.73276428423636e-27,2.98332933330598e-26,3.35660576172961e-26
35,0.35,0.941021979191747,-0.343487396025366,3.94680272659448e-27,2.96226114964634e-26,3.35694142230578e-26
36,0.36,0.937587105231493,-0.352897615817283,4.1660191010674e-27,2.94067520634127e-26,3.35727711644801e-26
37,0.37,0.934058129073321,-0.362273486869598,4.39032742593966e-27,2.91858010156569e-26,3.35761284415966e-26
