P,N,wall_s,comm_s
1,2048,46.928857,0.000000
2,2048,23.597625,0.129581
4,2048,12.279182,0.366263
8,2048,6.262050,0.284481
16,2048,3.496489,0.423657
24,2048,2.661520,0.420392
32,2048,1.978926,0.178449
