P,N,reps,median_rep,median_wall_s,median_comm_max_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
16,108,11,6,0.058995,0.030142,0.054990,0.060008,0.005018,0.054185,0.063327
16,256,11,8,0.231596,0.061503,0.229808,0.232930,0.003122,0.228341,0.239671
16,500,11,2,0.813313,0.163686,0.798862,0.821555,0.022693,0.794456,0.838865
16,864,11,5,2.220591,0.729241,2.176635,2.232069,0.055434,2.156323,2.254061
16,1372,11,5,3.883012,0.667368,3.787037,5.128639,1.341602,3.774039,5.245644
16,2048,11,3,8.124234,1.302953,8.029955,8.256928,0.226973,8.011609,8.757692
