kind,P,N,rep,wall_s,comm_max_s
size,16,108,1,0.054687,0.029595
size,16,108,2,0.054185,0.029587
size,16,108,3,0.054990,0.030164
size,16,108,4,0.055475,0.030007
size,16,108,5,0.057945,0.032166
size,16,108,6,0.058995,0.030142
size,16,108,7,0.060008,0.030641
size,16,108,8,0.059068,0.029796
size,16,108,9,0.059358,0.030264
size,16,108,10,0.060363,0.031637
size,16,108,11,0.063327,0.034522
size,16,256,1,0.228341,0.058311
size,16,256,2,0.232434,0.061857
size,16,256,3,0.239671,0.069435
size,16,256,4,0.234779,0.064740
size,16,256,5,0.230536,0.058986
size,16,256,6,0.232930,0.061886
size,16,256,7,0.228771,0.060293
size,16,256,8,0.231596,0.061503
size,16,256,9,0.229808,0.058859
size,16,256,10,0.232815,0.061990
size,16,256,11,0.230384,0.059985
size,16,500,1,0.821555,0.170379
size,16,500,2,0.813313,0.163686
size,16,500,3,0.820865,0.168298
size,16,500,4,0.794456,0.142459
size,16,500,5,0.814638,0.164829
size,16,500,6,0.838865,0.189596
size,16,500,7,0.798862,0.150954
size,16,500,8,0.798122,0.146253
size,16,500,9,0.803211,0.151318
size,16,500,10,0.807820,0.162217
size,16,500,11,0.831206,0.181639
size,16,864,1,2.176635,0.365699
size,16,864,2,2.243118,0.417890
size,16,864,3,2.254061,0.421981
size,16,864,4,2.226259,0.410128
size,16,864,5,2.220591,0.729241
size,16,864,6,2.224263,0.725857
size,16,864,7,2.156323,0.754098
size,16,864,8,2.201584,0.809134
size,16,864,9,2.162607,0.711831
size,16,864,10,2.232069,0.784299
size,16,864,11,2.207119,0.700721
size,16,1372,1,5.128639,1.710950
size,16,1372,2,4.315869,1.092533
size,16,1372,3,3.787037,0.542397
size,16,1372,4,3.785061,0.569243
size,16,1372,5,3.883012,0.667368
size,16,1372,6,3.805794,0.589912
size,16,1372,7,3.826375,0.616679
size,16,1372,8,3.922049,0.673869
size,16,1372,9,3.774039,0.576137
size,16,1372,10,5.245644,2.004133
size,16,1372,11,5.136456,1.911255
size,16,2048,1,8.757692,1.937555
size,16,2048,2,8.209305,1.373394
size,16,2048,3,8.124234,1.302953
size,16,2048,4,8.095102,1.288185
size,16,2048,5,8.144014,1.259696
size,16,2048,6,8.272507,1.424334
size,16,2048,7,8.089680,1.318422
size,16,2048,8,8.256928,1.470130
size,16,2048,9,8.011609,1.211008
size,16,2048,10,8.029955,1.269618
size,16,2048,11,8.015757,1.144504
