P,N,reps,median_rep,median_wall_s,median_comm_max_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
1,2048,11,9,116.527308,0.002839,116.366355,117.447302,1.080947,116.167461,117.908007
2,2048,11,8,58.828445,1.754177,58.525857,59.545627,1.019770,58.238964,60.473223
4,2048,11,6,30.472565,2.050872,30.165105,30.590498,0.425393,29.572336,30.720067
8,2048,11,6,15.444383,1.835728,15.213315,15.740222,0.526907,15.143462,16.545867
16,2048,11,8,8.056859,1.294110,8.010561,8.184222,0.173661,7.874601,8.876959
24,2048,11,9,5.908792,1.064121,5.864865,6.001128,0.136263,5.795686,6.579136
32,2048,11,11,4.761907,0.909489,4.721292,4.822949,0.101657,4.674215,5.071716
