P,N,wall_s,comm_max_s
1,2048,116.527308,0.002839
2,2048,58.828445,1.754177
4,2048,30.472565,2.050872
8,2048,15.444383,1.835728
16,2048,8.056859,1.294110
24,2048,5.908792,1.064121
32,2048,4.761907,0.909489
