kind,P,N,rep,wall_s,comm_max_s
strong,1,2048,1,116.191908,0.002832
strong,1,2048,2,116.661448,0.002837
strong,1,2048,3,116.167461,0.002818
strong,1,2048,4,116.626557,0.002853
strong,1,2048,5,116.488145,0.002830
strong,1,2048,6,116.453284,0.002833
strong,1,2048,7,117.603261,0.002821
strong,1,2048,8,117.447302,0.002849
strong,1,2048,9,116.527308,0.002839
strong,1,2048,10,116.366355,0.002802
strong,1,2048,11,117.908007,0.002845
strong,2,2048,1,59.758479,1.764127
strong,2,2048,2,58.911240,1.402054
strong,2,2048,3,60.473223,2.519801
strong,2,2048,4,58.741417,1.608039
strong,2,2048,5,58.918037,1.957096
strong,2,2048,6,58.723404,1.610932
strong,2,2048,7,58.238964,1.029424
strong,2,2048,8,58.828445,1.754177
strong,2,2048,9,58.247214,0.465032
strong,2,2048,10,59.545627,1.865495
strong,2,2048,11,58.525857,1.475859
strong,4,2048,1,30.590498,2.358525
strong,4,2048,2,30.558252,1.944174
strong,4,2048,3,30.169940,2.121094
strong,4,2048,4,30.004372,1.981403
strong,4,2048,5,30.720067,2.714272
strong,4,2048,6,30.472565,2.050872
strong,4,2048,7,30.423807,2.363490
strong,4,2048,8,30.651462,2.052579
strong,4,2048,9,30.165105,1.973445
strong,4,2048,10,30.580180,2.234757
strong,4,2048,11,29.572336,1.411162
strong,8,2048,1,16.545867,2.508455
strong,8,2048,2,15.143462,1.431431
strong,8,2048,3,15.426146,1.654672
strong,8,2048,4,15.688393,2.047191
strong,8,2048,5,15.755818,2.158544
strong,8,2048,6,15.444383,1.835728
strong,8,2048,7,15.213315,1.509231
strong,8,2048,8,15.740222,1.996137
strong,8,2048,9,15.455394,1.650505
strong,8,2048,10,15.185161,1.361698
strong,8,2048,11,15.420552,1.802094
strong,16,2048,1,8.876959,1.778815
strong,16,2048,2,8.055195,1.213106
strong,16,2048,3,7.874601,1.089702
strong,16,2048,4,8.000843,1.150179
strong,16,2048,5,8.199546,1.371188
strong,16,2048,6,8.010561,1.145248
strong,16,2048,7,8.148423,1.306241
strong,16,2048,8,8.056859,1.294110
strong,16,2048,9,8.066211,1.071806
strong,16,2048,10,8.184222,1.204520
strong,16,2048,11,8.025582,1.214325
strong,24,2048,1,6.579136,1.770836
strong,24,2048,2,5.887316,0.988325
strong,24,2048,3,6.243790,1.251642
strong,24,2048,4,5.881967,1.016162
strong,24,2048,5,5.859734,0.997212
strong,24,2048,6,5.795686,0.952668
strong,24,2048,7,6.001128,1.154826
strong,24,2048,8,5.968479,1.100620
strong,24,2048,9,5.908792,1.064121
strong,24,2048,10,5.966218,1.103491
strong,24,2048,11,5.864865,1.015699
strong,32,2048,1,5.071716,1.156843
strong,32,2048,2,4.713179,0.885380
strong,32,2048,3,4.745776,0.801332
strong,32,2048,4,4.912455,1.061037
strong,32,2048,5,4.674215,0.836648
strong,32,2048,6,4.822949,0.881045
strong,32,2048,7,4.762230,0.855508
strong,32,2048,8,4.784430,0.890636
strong,32,2048,9,4.748929,0.914172
strong,32,2048,10,4.721292,0.870081
strong,32,2048,11,4.761907,0.909489
