kind,P,N,rep,wall_s,comm_s
strong,24,2048,5,2.385127,0.179742
strong,24,2048,6,2.390844,0.180862
strong,24,2048,7,2.398637,0.184486
strong,24,2048,8,2.388482,0.183333
strong,24,2048,9,2.377551,0.175988
strong,24,2048,10,2.385458,0.181615
strong,24,2048,11,2.405843,0.186110
strong,24,2048,12,2.409784,0.182140
strong,24,2048,13,2.407537,0.188225
strong,24,2048,14,2.392394,0.182395
strong,24,2048,15,2.406305,0.184329
strong,24,2048,16,2.407408,0.187542
strong,24,2048,17,2.409827,0.187304
strong,24,2048,18,2.416193,0.193753
strong,24,2048,19,2.392186,0.181136
strong,24,2048,20,2.417960,0.192114
strong,24,2048,21,2.420785,0.190882
strong,24,2048,22,2.429766,0.200280
strong,24,2048,23,2.427469,0.196120
strong,24,2048,24,2.417617,0.201419
strong,24,2048,25,2.424018,0.196816
strong,24,2048,26,2.428674,0.201352
strong,24,2048,27,2.429401,0.203435
strong,24,2048,28,2.423826,0.201926
strong,24,2048,29,2.414282,0.198836
strong,24,2048,30,2.411689,0.198561
strong,24,2048,31,2.412342,0.198641
strong,32,2048,1,2.109074,0.304814
strong,32,2048,2,1.923501,0.158083
strong,32,2048,3,1.921408,0.153018
strong,32,2048,4,1.928294,0.153822
strong,32,2048,5,2.171721,0.326486
strong,32,2048,6,2.089459,0.207604
strong,32,2048,7,1.933311,0.150962
strong,32,2048,8,1.950631,0.161775
strong,32,2048,9,1.940925,0.153271
strong,32,2048,10,1.941847,0.158453
strong,32,2048,11,1.951578,0.165601
strong,32,2048,12,1.949340,0.162199
strong,32,2048,13,1.950562,0.163879
strong,32,2048,14,1.943918,0.160439
strong,32,2048,15,1.950344,0.163773
strong,32,2048,16,1.959643,0.175897
strong,32,2048,17,1.948753,0.164498
strong,32,2048,18,1.944788,0.165934
strong,32,2048,19,1.941448,0.166019
strong,32,2048,20,1.952016,0.169534
strong,32,2048,21,1.942273,0.167095
strong,32,2048,22,1.947544,0.171136
strong,32,2048,23,1.943117,0.169576
strong,32,2048,24,1.952691,0.171479
strong,32,2048,25,1.959654,0.175663
strong,32,2048,26,1.965110,0.175443
strong,32,2048,27,1.969550,0.181245
strong,32,2048,28,1.964709,0.163117
strong,32,2048,29,1.970218,0.173662
strong,32,2048,30,1.961610,0.173922
strong,32,2048,31,1.956360,0.167883
size,16,108,1,0.069168,0.029253
size,16,108,2,0.069312,0.029247
size,16,108,3,0.068512,0.028820
size,16,108,4,0.071979,0.030226
size,16,108,5,0.068395,0.028919
size,16,108,6,0.068741,0.028973
size,16,108,7,0.069405,0.029318
size,16,108,8,0.067536,0.028366
size,16,108,9,0.071459,0.029777
size,16,108,10,0.068917,0.028879
size,16,108,11,0.069736,0.029652
size,16,108,12,0.067986,0.028552
