P,N,reps,median_rep,median_wall_s,median_comm_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
16,108,31,24,0.069119,0.029157,0.068512,0.069557,0.001045,0.067536,0.071979
16,256,31,16,0.363684,0.067851,0.362760,0.364894,0.002134,0.361573,0.369994
16,500,31,25,1.432264,0.213095,1.424755,1.435439,0.010684,1.420002,1.457288
16,864,31,18,3.932334,0.437881,3.928406,3.944674,0.016268,3.905432,3.957726
16,1372,31,24,9.430750,0.926384,9.362633,9.509402,0.146769,9.243661,9.569722
16,2048,31,28,19.709470,1.586496,19.650177,19.812626,0.162449,19.499027,20.091338
