kind,P,N,rep,wall_s,comm_s
size,16,2048,19,19.814065,1.668298
size,16,2048,20,19.735959,1.633925
size,16,2048,21,19.661881,1.626586
size,16,2048,22,19.532732,1.505681
size,16,2048,23,19.541233,1.483075
size,16,2048,24,19.656870,1.506665
size,16,2048,25,19.640828,1.506371
size,16,2048,26,19.650177,1.520934
size,16,2048,27,19.891356,1.587170
size,16,2048,28,19.709470,1.586496
size,16,2048,29,19.707385,1.589532
size,16,2048,30,19.812626,1.558486
size,16,2048,31,19.782820,1.612935
