P,N,wall_s,comm_s
1,2048,47.472812,0.000000
2,2048,23.741062,0.119966
4,2048,12.324147,0.406551
8,2048,6.321563,0.286507
16,2048,3.297202,0.191395
24,2048,2.409784,0.182140
32,2048,1.950562,0.163879
