P,N,wall_s,comm_s
16,108,0.069119,0.029157
16,256,0.363684,0.067851
16,500,1.432264,0.213095
16,864,3.932334,0.437881
16,1372,9.430750,0.926384
16,2048,19.709470,1.586496
