P,N,reps,median_rep,median_wall_s,median_comm_max_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
16,108,11,11,0.036981,0.019663,0.036377,0.037339,0.000962,0.035892,0.038832
16,256,11,1,0.110827,0.027021,0.110321,0.111363,0.001042,0.110273,0.120266
16,500,11,5,0.375984,0.069971,0.375145,0.380717,0.005572,0.371890,0.395085
16,864,11,9,1.036951,0.169442,1.026156,1.047058,0.020902,1.020413,1.050551
16,1372,11,4,2.405756,0.789080,2.394372,2.427738,0.033366,2.357661,2.454375
16,2048,11,5,4.016341,0.777704,3.947605,4.181822,0.234217,3.884816,4.771787
