P,N,wall_s,comm_max_s
16,108,0.036981,0.019663
16,256,0.110827,0.027021
16,500,0.375984,0.069971
16,864,1.036951,0.169442
16,1372,2.405756,0.789080
16,2048,4.016341,0.777704
