P,N,reps,median_rep,median_wall_s,median_comm_max_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
1,2048,11,7,55.988769,0.001470,55.774734,56.080209,0.305475,55.117714,56.927057
2,2048,11,10,27.950376,0.905220,27.788295,28.098550,0.310255,27.447217,28.190751
4,2048,11,4,14.226448,0.691105,14.035122,14.703136,0.668014,13.933538,14.920533
8,2048,11,6,7.356779,0.841832,7.281762,7.606884,0.325122,7.239194,7.946605
16,2048,11,2,4.058402,0.779469,3.981181,4.143738,0.162557,3.838672,4.864037
24,2048,11,4,3.397236,1.011843,3.311809,3.436527,0.124718,2.834200,3.461443
32,2048,11,2,2.659759,0.817343,2.607927,2.711834,0.103907,2.583884,2.745420
