P,N,wall_s,comm_max_s
1,2048,55.988769,0.001470
2,2048,27.950376,0.905220
4,2048,14.226448,0.691105
8,2048,7.356779,0.841832
16,2048,4.058402,0.779469
24,2048,3.397236,1.011843
32,2048,2.659759,0.817343
