P,N,wall_s,comm_s
16,108,0.110214,0.035035
16,256,0.607167,0.046084
16,500,1.741915,0.404912
16,864,4.215804,0.491395
16,1372,9.599711,0.890543
16,2048,19.540188,1.281840
