integrator,integrator_label,dt,endpoint_position_error,endpoint_velocity_error,rms_phase_space_error,max_relative_energy_drift
euler,Forward Euler,0.5,8.367020351721887,1.9525828174323399,3.863189505580034,85.73617379884048
euler,Forward Euler,0.01,0.043208489127591565,0.02759708518306425,0.029423205358938196,0.10516539260323106
verlet,Velocity-Verlet,0.5,0.06303048743925244,0.0666345063276792,0.06543639736680687,0.062313079833983626
verlet,Velocity-Verlet,0.01,2.266852967147681e-05,2.816049136322718e-05,2.574297005881407e-05,2.4999984407430367e-05
rk4,RK4,0.5,0.0008075801512805736,0.005127035265358737,0.003034557426149899,0.004196257140171827
rk4,RK4,0.01,4.4750858574360564e-10,7.029797854940512e-10,4.812453619614678e-10,1.3888375429078477e-11
