P,N,wall_s,comm_max_s
1,2048,22.110601,0.000615
2,2048,11.109577,0.113989
4,2048,5.768574,0.331327
8,2048,2.909240,0.243847
16,2048,1.793131,0.436469
24,2048,1.345383,0.368196
32,2048,0.921945,0.158872
