P,N,wall_s,comm_max_s
16,108,0.040116,0.025931
16,256,0.228590,0.119813
16,500,0.831942,0.431430
16,864,1.671374,0.526962
16,1372,3.499117,0.728612
16,2048,7.077322,1.216199
