P,N,reps,median_rep,median_wall_s,median_comm_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
16,108,31,16,0.109758,0.062600,0.100867,0.111680,0.010813,0.071550,0.173634
16,256,31,4,0.615247,0.208172,0.609607,0.621091,0.011484,0.557364,0.667763
16,500,31,14,1.743683,0.483453,1.676641,1.896775,0.220134,1.449677,2.367475
16,864,31,5,4.201989,0.686485,4.131209,4.395175,0.263966,4.041618,4.836934
16,1372,31,8,9.498267,1.004562,9.450081,9.749331,0.299250,9.265084,10.159737
16,2048,31,23,19.580846,1.610877,19.402817,19.831958,0.429141,19.167644,20.208540
