P,N,wall_s,comm_s
16,108,0.109758,0.062600
16,256,0.615247,0.208172
16,500,1.743683,0.483453
16,864,4.201989,0.686485
16,1372,9.498267,1.004562
16,2048,19.580846,1.610877
