P,N,reps,median_rep,median_wall_s,median_comm_s,q1_wall_s,q3_wall_s,iqr_wall_s,min_wall_s,max_wall_s
1,2048,31,23,46.928857,0.000000,46.904036,47.116027,0.211991,46.849698,47.682716
2,2048,31,30,23.597625,0.129581,23.586057,23.625127,0.039070,23.550484,23.690273
4,2048,31,21,12.279182,0.366263,12.238329,12.356032,0.117703,12.145116,13.029956
8,2048,31,18,6.262050,0.284481,6.239349,6.341780,0.102431,6.144945,6.888417
16,2048,31,23,3.496489,0.423657,3.427163,3.609420,0.182257,3.231731,3.912686
24,2048,31,27,2.661520,0.420392,2.613516,2.713450,0.099934,2.520724,2.840288
32,2048,31,21,1.978926,0.178449,1.943842,2.138540,0.194698,1.913797,2.296443
