P,N,wall_s,comm_s
1,2048,9.359403,0.000560
2,2048,4.720551,0.001911
4,2048,2.392279,0.011362
8,2048,1.251884,0.058824
16,2048,0.881151,0.274308
24,2048,0.746083,0.305962
32,2048,0.388945,0.028101
