P,N,wall_s,comm_s
1,2048,9.301480,0.000571
2,2048,4.685670,0.001804
4,2048,2.415744,0.028919
8,2048,1.236419,0.039707
16,2048,0.872881,0.263239
24,2048,0.716706,0.281705
32,2048,0.390856,0.020093
