P,N,wall_s,comm_s
16,108,0.043416,0.013306
16,256,0.260659,0.023440
16,500,0.885881,0.064221
16,864,1.728640,0.346642
16,1372,3.629183,0.310959
16,2048,7.450915,0.506269
