P,N,wall_s,comm_s
1,2048,57.056743,0.001845
2,2048,28.958400,0.132865
4,2048,18.270409,1.988333
8,2048,9.586349,1.635382
16,2048,5.506062,0.468078
24,2048,3.962455,0.970232
32,2048,3.754653,1.131535
