P,N,wall_s,comm_s
16,108,0.046194,0.015898
16,256,0.262737,0.027392
16,500,0.930677,0.035950
16,864,1.755363,0.322474
16,1372,3.721051,0.527713
16,2048,7.450830,0.198073
